Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-9.021,-75.733,66.712,4,16,2,-3.0,0.0
-28.021,-94.667,66.646,4,17,2,-22.0,0.0
-9.041,-75.751,66.71000000000001,4,18,2,7.0,0.0
-28.021,-94.637,66.616,4,19,2,-18.5,0.0
-9.062000000000001,-75.79,66.72800000000001,4,20,2,9.0,0.0
-26.021,-92.508,66.487,4,21,2,-10.0,0.0
-9.021,-75.691,66.67,4,22,2,0.0,0.0
-29.01,-95.62299999999999,66.61299999999999,4,23,2,-15.75,0.0
-9.021,-75.67399999999999,66.65299999999999,4,24,2,-3.0,0.0
-25.781999999999996,-91.75200000000001,65.97000000000001,4,25,2,-9.0,0.0
-8.021,-74.64699999999999,66.62599999999999,4,26,2,-2.0,0.0
-28.061999999999998,-94.49799999999999,66.43599999999999,4,27,2,-10.0,0.0
-9.021,-75.741,66.72,4,28,2,-0.5,0.0
-26.021,-92.736,66.715,4,29,2,-17.0,0.0
-9.021,-75.804,66.783,4,30,2,7.0,0.0
-26.021,-92.684,66.663,4,31,2,-20.0,0.0
-9.01,-75.773,66.76299999999999,4,32,2,5.5,0.0
-26.021,-92.37799999999999,66.35699999999999,4,1,3,-20.0,0.0
-8.021,-74.325,66.304,4,2,3,-2.0,0.0
-26.021,-92.40799999999999,66.38699999999999,4,3,3,-20.0,0.0
-8.021,-74.343,66.322,4,4,3,-2.0,0.0
-26.021,-92.38799999999999,66.36699999999999,4,5,3,-20.0,0.0
-8.021,-74.345,66.324,4,6,3,-2.0,0.0
-26.021,-92.367,66.346,4,7,3,-20.0,0.0
-8.021,-74.306,66.285,4,8,3,-2.0,0.0
-26.021,-92.398,66.377,4,9,3,-20.0,0.0
-9.021,-75.418,66.397,4,10,3,-3.0,0.0
-26.021,-92.375,66.354,4,11,3,-20.0,0.0
-8.021,-74.384,66.363,4,12,3,-2.0,0.0
-26.021,-92.412,66.391,4,13,3,-20.0,0.0
-8.021,-74.315,66.294,4,14,3,-2.0,0.0
-26.021,-92.37899999999999,66.35799999999999,4,15,3,-20.0,0.0
-9.021,-75.433,66.412,4,16,3,-3.0,0.0
-26.021,-92.398,66.377,4,17,3,-20.0,0.0
-8.041,-74.391,66.35000000000001,4,18,3,8.0,0.0
-26.021,-92.432,66.411,4,19,3,-15.5,0.0
-8.062000000000001,-74.40899999999999,66.347,4,20,3,10.0,0.0
-26.021,-92.458,66.437,4,21,3,-9.5,0.0
-9.021,-75.368,66.347,4,22,3,0.0,0.0
-26.01,-92.512,66.502,4,23,3,-13.0,0.0
-9.021,-75.348,66.327,4,24,3,-3.0,0.0
